symbol,last_close,pct_1d,pct_5d,pct_20d,volume_ratio,above_50dma,near_52w_high,pct_from_52w_high,breakout,big_mover,volume_spike,higher_lows,momentum_score
AARNAV,31.35,19.98,24.36,25.55,7.25,True,True,0.0,True,True,True,True,100.0
ALKALI,97.2,11.97,36.02,45.55,7.33,True,True,0.0,True,True,True,True,100.0
BNALTD,539.55,19.99,45.82,58.69,46.42,True,True,0.0,True,True,True,True,100.0
PRITIKAUTO,19.99,5.16,38.05,43.09,5.34,True,True,0.0,True,False,True,True,100.0
NOIDATOLL,7.17,6.07,51.27,91.2,13.96,True,True,0.0,True,False,True,True,100.0
GOLDTECH,64.88,17.94,50.05,50.67,6.37,True,True,0.0,True,True,True,True,100.0
VIPCLOTHNG,27.25,5.29,20.68,18.43,5.67,True,True,0.0,True,False,True,True,98.4
HUHTAMAKI,232.69,4.68,12.0,26.25,3.4,True,True,0.0,True,False,True,True,96.7
GNA,592.0,7.66,25.98,43.39,3.35,True,True,0.0,True,False,True,True,96.7
TCIFINANCE,25.3,10.0,94.47,82.94,3.26,True,True,0.0,True,True,True,True,96.3
MODISONLTD,284.6,3.6,63.19,71.73,2.94,True,True,0.0,True,False,True,True,93.3
KOPRAN,206.27,6.56,26.41,25.29,2.55,True,True,0.0,True,False,True,True,92.7
SSWL,265.44,1.1,10.58,17.18,3.72,True,True,0.0,True,False,True,True,91.9
IPCALAB,1890.2,0.65,6.77,22.45,3.09,True,True,0.0,True,False,True,True,91.1
JLHL,1554.0,3.61,6.14,15.8,3.28,True,True,0.0,True,False,True,True,90.8
MAJESAUT,394.25,1.97,13.62,15.89,3.59,True,True,0.0,True,False,True,True,90.8
GTECJAINX,38.35,9.98,91.56,92.71,6.98,True,True,0.0,True,True,True,False,90.0
CYIENTDLM,586.9,8.99,9.03,25.11,5.56,True,True,0.0,True,True,True,False,90.0
RUBYMILLS,336.2,18.38,33.75,37.02,11.14,True,True,0.0,True,True,True,False,90.0
SHARDUL,48.88,4.98,74.57,63.48,43.61,True,True,0.0,True,False,True,False,90.0
VELJAN,1889.6,9.99,55.89,61.37,15.27,True,True,0.0,True,True,True,False,90.0
NEOGEN,2321.4,2.17,14.54,20.31,2.36,True,True,0.0,True,False,True,True,89.0
FILATEX,73.1,3.92,19.72,34.15,7.24,True,True,0.0,True,False,True,False,88.9
EIFFL,356.54,2.68,45.67,48.64,2.1,True,True,0.0,True,False,True,True,88.2
AURUM,241.19,-3.84,9.28,20.43,4.17,True,True,3.84,False,False,True,True,85.0
MUKANDLTD,146.2,3.21,11.79,6.75,4.0,True,True,1.85,True,False,True,True,84.9
GSPCROP,493.0,7.89,24.9,10.8,2.8,True,True,0.0,True,False,True,True,84.8
PLASTIBLEN,202.33,2.83,14.69,16.81,8.64,True,True,0.0,True,False,True,False,84.6
UNIMECH,1296.9,7.49,6.97,14.4,5.03,True,True,0.0,True,False,True,False,84.4
BHEL,435.4,4.18,14.1,7.27,3.58,True,True,0.0,True,False,True,True,84.3
DIXON,14507.0,6.27,7.64,14.53,3.73,True,True,0.0,True,False,True,False,83.2
NIBL,34.38,3.49,13.47,11.12,2.57,True,True,0.0,True,False,True,True,82.5
JSFB,497.7,1.8,9.32,5.58,9.76,True,True,0.2,True,False,True,True,82.4
TANLA,588.3,4.32,12.77,11.95,4.66,True,True,0.0,True,False,True,False,81.3
CHENNPETRO,1240.8,7.22,10.62,10.85,8.15,True,True,0.0,True,False,True,False,80.8
VSSL,297.4,0.44,10.23,5.01,4.01,True,True,0.0,True,False,True,True,80.5
EMAMIPAP,90.95,1.0,4.4,5.28,4.26,True,True,0.0,True,False,True,True,80.1
EMMVEE,365.35,8.16,9.24,9.48,8.59,True,True,0.0,True,True,True,False,79.5
JETFREIGHT,24.8,2.9,19.06,10.57,12.61,True,True,0.0,True,False,True,False,78.5
HIRECT,1288.3,1.15,23.76,12.32,28.48,True,True,0.0,True,False,True,False,78.5
ALGOQUANT,65.14,7.17,13.27,8.55,4.32,True,True,0.0,True,False,True,False,78.5
GRINDWELL,2382.3,16.44,17.89,13.15,3.04,True,True,0.0,True,True,True,False,78.4
MAHESHWARI,68.94,-0.29,24.33,27.29,2.51,True,True,0.29,False,False,True,True,77.6
MUTHOOTCAP,233.77,2.21,7.38,16.4,2.62,True,True,0.0,True,False,True,False,76.7
PAISALO,73.78,2.43,1.91,26.1,3.08,True,True,0.0,True,False,True,False,76.6
RAJRATAN,495.9,2.21,6.47,9.08,4.59,True,True,0.0,True,False,True,False,76.3
NITIRAJ,213.03,3.46,16.56,7.67,4.31,True,True,1.72,True,False,True,False,76.1
SAURASHCEM,62.55,12.52,13.77,6.11,17.46,True,True,3.19,True,True,True,False,76.1
ABB,7667.5,6.43,12.43,6.07,8.77,True,True,0.0,True,False,True,False,76.1
IRISDOREME,46.82,2.86,4.39,17.26,2.32,True,True,0.0,True,False,True,False,75.5
MASTEK,1768.2,4.74,9.68,8.07,3.52,True,True,0.01,True,False,True,False,75.4
PRAVEG,271.1,7.27,15.7,15.39,23.72,True,False,14.69,True,False,True,False,75.4
LAGNAM,85.08,4.32,7.09,5.86,11.31,True,True,2.38,True,False,True,False,75.2
BLACKROSE,125.93,0.0,31.67,29.68,5.64,True,True,0.0,False,False,True,False,75.0
SEMAC,390.65,-5.0,26.71,35.87,7.91,True,True,5.0,False,False,True,False,75.0
OMFREIGHT,108.28,-3.11,18.68,29.8,4.24,True,True,3.11,False,False,True,False,75.0
SRF,2889.3,4.1,4.8,6.89,3.55,True,True,0.0,True,False,True,False,73.3
KOTYARK,453.8,2.83,12.26,4.79,4.82,True,True,1.37,True,False,True,False,72.6
DAMCAPITAL,170.49,0.61,12.51,10.12,3.12,True,True,0.0,True,False,True,False,71.3
SATIA,61.75,12.19,13.7,10.8,14.36,True,False,17.06,True,True,True,False,70.8
LAOPALA,189.58,1.23,7.11,4.5,7.24,True,True,0.0,True,False,True,False,70.7
RHETAN,30.88,2.42,15.53,9.89,2.66,True,True,1.78,True,False,True,False,70.6
HYUNDAI,2025.0,1.1,5.13,2.45,2.3,True,True,0.25,True,False,True,True,70.0
NOVARTIND,1596.2,3.74,8.86,17.0,2.84,True,True,4.12,False,False,True,False,69.9
TIMETECHNO,199.4,2.19,12.93,11.84,2.18,True,True,0.0,True,False,True,False,69.9
PGEL,620.95,3.53,6.38,10.05,2.18,True,True,0.0,True,False,True,False,69.5
GRADIENTE,3.55,3.8,25.44,40.87,2.07,True,False,30.53,True,False,True,False,69.2
GLOBUSSPR,988.55,3.26,7.27,10.96,4.93,True,False,12.27,True,False,True,False,69.2
MRPL,173.33,10.07,15.8,8.96,30.28,True,False,7.42,True,True,True,False,69.0
URAVIDEF,131.86,1.31,15.84,14.54,3.56,True,False,7.69,True,False,True,False,68.6
LAMBODHARA,117.5,2.49,8.38,8.24,2.52,True,True,0.71,True,False,True,False,68.3
SPLIL,33.93,0.8,7.89,13.97,3.64,True,False,5.17,True,False,True,False,68.0
BEPL,109.68,3.07,8.33,2.45,3.39,True,True,0.0,True,False,True,False,67.5
JUSTDIAL,793.35,-1.33,45.14,44.43,2.5,True,True,1.33,False,False,True,False,67.5
SHYAMCENT,5.91,2.78,7.85,18.44,2.19,True,True,0.51,False,False,True,False,67.2
DBSTOCKBRO,42.3,-5.31,19.97,38.24,2.38,True,False,5.31,False,False,True,True,66.9
FIEMIND,2311.3,2.14,4.64,0.95,3.87,True,True,3.16,True,False,True,False,66.7
HSCL,722.35,5.99,11.12,4.64,2.38,True,True,0.0,True,False,True,False,66.5
IIFL,567.1,4.32,4.11,7.16,2.26,True,True,0.0,True,False,True,False,66.0
JINDWORLD,32.06,6.51,11.86,5.5,40.56,True,True,1.17,False,False,True,False,65.5
ROSSELLIND,59.29,4.33,4.4,5.18,2.37,True,True,0.0,True,False,True,False,65.1
CHEMICAL,30.38,1.47,3.3,1.81,4.18,True,True,0.0,True,False,True,False,64.9
ONWARDTEC,288.2,1.62,2.86,12.4,4.45,True,True,1.35,False,False,True,False,64.7
GROBTEA,955.55,3.57,5.9,1.37,2.83,True,True,0.68,True,False,True,False,64.1
ATHERENERG,1267.1,-2.26,4.0,30.76,2.16,True,True,2.26,False,False,True,False,63.8
ASKAUTOLTD,485.0,2.57,1.05,4.7,3.68,True,True,0.0,True,False,True,False,62.8
BECTORFOOD,192.23,13.77,12.36,2.5,61.73,True,False,6.85,True,True,True,False,62.5
ADOR,1352.8,-0.7,2.08,15.15,3.61,True,True,0.7,False,False,True,False,62.3
BORANA,325.5,7.41,6.69,2.26,7.81,True,False,7.01,True,False,True,False,62.3
HEG,608.45,3.9,18.32,12.96,2.09,True,False,8.97,True,False,True,False,62.3
